Multiple records in test_sequences.fasta, using first record
Multiple records in pUC19_part82.fasta, using first record
Multiple records in LKUA01_part95.fasta, using first record
Multiple records in LKUA01_part173.fasta, using first record
Multiple records in LKUA01_part247.fasta, using first record
Multiple records in AGQN01_part277.fasta, using first record
Multiple records in LKUA01_part310.fasta, using first record
Multiple records in LKUA01_part59.fasta, using first record
Multiple records in AGQN01_part297.fasta, using first record
Multiple records in LKUA01_part300.fasta, using first record
Multiple records in LKUA01_part141.fasta, using first record
Multiple records in pUC19_part174.fasta, using first record
Multiple records in LKUB01_part75.fasta, using first record
Multiple records in AGQN01_part333.fasta, using first record
Multiple records in pUC19_part53.fasta, using first record
Multiple records in LKUA01_part203.fasta, using first record
Multiple records in LKUB01_part103.fasta, using first record
Multiple records in AGQN01_part210.fasta, using first record
Multiple records in pUC19_part83.fasta, using first record
Multiple records in pBluescript_part11.fasta, using first record
Multiple records in LKUA01_part51.fasta, using first record
Multiple records in pUC19_part33.fasta, using first record
Multiple records in LKUA01_part115.fasta, using first record
Multiple records in AGQN01_part19.fasta, using first record
Multiple records in pUC19_part112.fasta, using first record
Multiple records in AGQN01_part182.fasta, using first record
Multiple records in LKUB01_part132.fasta, using first record
Multiple records in AGQN01_part22.fasta, using first record
Multiple records in pUC19_part79.fasta, using first record
Multiple records in AGQN01_part76.fasta, using first record
Multiple records in pBluescript_part19.fasta, using first record
Multiple records in LKUB01_part98.fasta, using first record
Multiple records in AGQN01_part293.fasta, using first record
Multiple records in LKUA01_part100.fasta, using first record
Multiple records in LKUA01_part275.fasta, using first record
Multiple records in AGQN01_part163.fasta, using first record
Multiple records in pUC19_part45.fasta, using first record
Multiple records in pUC19_part42.fasta, using first record
Multiple records in AGQN01_part34.fasta, using first record
Multiple records in LKUA01_part89.fasta, using first record
Multiple records in LKUB01_part111.fasta, using first record
Multiple records in LKUB01_part54.fasta, using first record
Multiple records in LKUA01_part281.fasta, using first record
Multiple records in LKUB01_part104.fasta, using first record
Multiple records in AGQN01_part230.fasta, using first record
Multiple records in AGQN01_part39.fasta, using first record
Multiple records in pUC19_part119.fasta, using first record
Multiple records in LKUA01_part224.fasta, using first record
Multiple records in LKUB01_part45.fasta, using first record
Multiple records in AGQN01_part251.fasta, using first record
Multiple records in LKUA01_part99.fasta, using first record
Multiple records in AGQN01_part306.fasta, using first record
Multiple records in LKUB01_part68.fasta, using first record
Multiple records in AGQN01_part2.fasta, using first record
Multiple records in AGQN01_part236.fasta, using first record
Multiple records in pUC19_part158.fasta, using first record
Multiple records in LKUB01_part117.fasta, using first record
Multiple records in AGQN01_part328.fasta, using first record
Multiple records in LKUB01_part18.fasta, using first record
Multiple records in LKUA01_part187.fasta, using first record
Multiple records in AGQN01_part166.fasta, using first record
Multiple records in AGQN01_part153.fasta, using first record
Multiple records in AGQN01_part262.fasta, using first record
Multiple records in LKUB01_part60.fasta, using first record
Multiple records in pBluescript_part1.fasta, using first record
Multiple records in LKUB01_part11.fasta, using first record
Multiple records in LKUA01_part35.fasta, using first record
Multiple records in pUC19_part24.fasta, using first record
Multiple records in LKUA01_part68.fasta, using first record
Multiple records in LKUA01_part255.fasta, using first record
Multiple records in LKUB01_part76.fasta, using first record
Multiple records in LKUA01_part21.fasta, using first record
Multiple records in pBluescript_part8.fasta, using first record
Multiple records in LKUA01_part279.fasta, using first record
Multiple records in pUC19_part124.fasta, using first record
Multiple records in LKUA01_part243.fasta, using first record
Multiple records in LKUA01_part65.fasta, using first record
Multiple records in LKUB01_part114.fasta, using first record
Multiple records in LKUA01_part301.fasta, using first record
Multiple records in LKUA01_part69.fasta, using first record
Multiple records in LKUB01_part61.fasta, using first record
Multiple records in AGQN01_part271.fasta, using first record
Multiple records in LKUA01_part308.fasta, using first record
Multiple records in pUC19_part144.fasta, using first record
Multiple records in LKUA01_part98.fasta, using first record
Multiple records in AGQN01_part299.fasta, using first record
Multiple records in pUC19_part139.fasta, using first record
Multiple records in AGQN01_part103.fasta, using first record
Multiple records in AGQN01_part270.fasta, using first record
Multiple records in LKUA01_part312.fasta, using first record
Multiple records in LKUB01_part99.fasta, using first record
Multiple records in AGQN01_part281.fasta, using first record
Multiple records in LKUA01_part204.fasta, using first record
Multiple records in LKUA01_part216.fasta, using first record
Multiple records in LKUB01_part25.fasta, using first record
Multiple records in AGQN01_part33.fasta, using first record
Multiple records in LKUA01_part267.fasta, using first record
Multiple records in LKUB01_part141.fasta, using first record
Multiple records in LKUA01_part237.fasta, using first record
Multiple records in AGQN01_part120.fasta, using first record
Multiple records in pUC19_part68.fasta, using first record
Multiple records in MNPR01_part3.fasta, using first record
Multiple records in AGQN01_part177.fasta, using first record
Multiple records in Influenza_A_virus_part1.fasta, using first record
Multiple records in LKUB01_part79.fasta, using first record
Multiple records in AGQN01_part285.fasta, using first record
Multiple records in LKUB01_part135.fasta, using first record
Multiple records in AGQN01_part305.fasta, using first record
Multiple records in LKUA01_part262.fasta, using first record
Multiple records in AGQN01_part202.fasta, using first record
Multiple records in AGQN01_part62.fasta, using first record
Multiple records in pBluescript_part2.fasta, using first record
Multiple records in AGQN01_part44.fasta, using first record
Multiple records in LKUA01_part66.fasta, using first record
Multiple records in LKUB01_part124.fasta, using first record
Multiple records in AGQN01_part108.fasta, using first record
Multiple records in LKUA01_part18.fasta, using first record
Multiple records in LKUA01_part198.fasta, using first record
Multiple records in AGQN01_part332.fasta, using first record
Multiple records in pUC19_part161.fasta, using first record
Multiple records in LKUA01_part36.fasta, using first record
Multiple records in LKUA01_part28.fasta, using first record
Multiple records in MNPR01_part8.fasta, using first record
Multiple records in AGQN01_part257.fasta, using first record
Multiple records in LKUB01_part5.fasta, using first record
Multiple records in LKUA01_part32.fasta, using first record
Multiple records in LKUA01_part277.fasta, using first record
Multiple records in LKUB01_part50.fasta, using first record
Multiple records in AGQN01_part70.fasta, using first record
Multiple records in LKUB01_part23.fasta, using first record
Multiple records in LKUA01_part103.fasta, using first record
Multiple records in pUC19_part165.fasta, using first record
Multiple records in LKUB01_part83.fasta, using first record
Multiple records in pUC19_part78.fasta, using first record
Multiple records in LKUB01_part129.fasta, using first record
Multiple records in LKUA01_part265.fasta, using first record
Multiple records in LKUA01_part259.fasta, using first record
Multiple records in LKUB01_part49.fasta, using first record
Multiple records in LKUA01_part128.fasta, using first record
Multiple records in AGQN01_part54.fasta, using first record
Multiple records in pBluescript_part22.fasta, using first record
Multiple records in LKUA01_part9.fasta, using first record
Multiple records in pUC19_part127.fasta, using first record
Multiple records in AGQN01_part91.fasta, using first record
Multiple records in LKUB01_part71.fasta, using first record
Multiple records in AGQN01_part73.fasta, using first record
Multiple records in LKUB01_part37.fasta, using first record
Multiple records in LKUB01_part17.fasta, using first record
Multiple records in pUC19_part143.fasta, using first record
Multiple records in AGQN01_part143.fasta, using first record
Multiple records in AGQN01_part269.fasta, using first record
Multiple records in LKUA01_part119.fasta, using first record
Multiple records in LKUB01_part13.fasta, using first record
Multiple records in LKUA01_part12.fasta, using first record
Multiple records in LKUA01_part121.fasta, using first record
Multiple records in AGQN01_part283.fasta, using first record
Multiple records in pUC19_part9.fasta, using first record
Multiple records in LKUA01_part74.fasta, using first record
Multiple records in pUC19_part108.fasta, using first record
Multiple records in AGQN01_part173.fasta, using first record
Multiple records in LKUA01_part257.fasta, using first record
Multiple records in AGQN01_part7.fasta, using first record
Multiple records in LKUA01_part208.fasta, using first record
Multiple records in AGQN01_part259.fasta, using first record
Multiple records in LKUA01_part241.fasta, using first record
Multiple records in AGQN01_part27.fasta, using first record
Multiple records in LKUA01_part85.fasta, using first record
Multiple records in pBluescript_part9.fasta, using first record
Multiple records in LKUB01_part134.fasta, using first record
Multiple records in LKUA01_part148.fasta, using first record
Multiple records in LKUB01_part105.fasta, using first record
Multiple records in Influenza_A_virus_part2.fasta, using first record
Multiple records in AGQN01_part56.fasta, using first record
Multiple records in LKUA01_part219.fasta, using first record
Multiple records in AGQN01_part32.fasta, using first record
Multiple records in LKUA01_part154.fasta, using first record
Multiple records in AGQN01_part126.fasta, using first record
Multiple records in pUC19_part103.fasta, using first record
Multiple records in AGQN01_part247.fasta, using first record
Multiple records in LKUA01_part132.fasta, using first record
Multiple records in pBluescript_part15.fasta, using first record
Multiple records in LKUA01_part299.fasta, using first record
Multiple records in AGQN01_part192.fasta, using first record
Multiple records in LKUB01_part87.fasta, using first record
Multiple records in LKUA01_part56.fasta, using first record
Multiple records in AGQN01_part253.fasta, using first record
Multiple records in AGQN01_part302.fasta, using first record
Multiple records in LKUB01_part174.fasta, using first record
Multiple records in LKUB01_part2.fasta, using first record
Multiple records in pUC19_part122.fasta, using first record
Multiple records in LKUB01_part39.fasta, using first record
Multiple records in AGQN01_part94.fasta, using first record
Multiple records in AGQN01_part213.fasta, using first record
Multiple records in LKUA01_part161.fasta, using first record
Multiple records in LKUB01_part116.fasta, using first record
Multiple records in LKUA01_part113.fasta, using first record
Multiple records in AGQN01_part224.fasta, using first record
Multiple records in pUC19_part61.fasta, using first record
Multiple records in LKUA01_part102.fasta, using first record
Multiple records in LKUA01_part8.fasta, using first record
Multiple records in AGQN01_part235.fasta, using first record
Multiple records in pUC19_part7.fasta, using first record
Multiple records in LKUA01_part235.fasta, using first record
Multiple records in Influenza_A_virus_part8.fasta, using first record
Multiple records in AGQN01_part42.fasta, using first record
Multiple records in AGQN01_part97.fasta, using first record
Multiple records in LKUB01_part32.fasta, using first record
Multiple records in AGQN01_part87.fasta, using first record
Multiple records in LKUA01_part7.fasta, using first record
Multiple records in AGQN01_part300.fasta, using first record
Multiple records in LKUB01_part113.fasta, using first record
Multiple records in AGQN01_part59.fasta, using first record
Multiple records in AGQN01_part169.fasta, using first record
Multiple records in pUC19_part59.fasta, using first record
Multiple records in pUC19_part40.fasta, using first record
Multiple records in Influenza_A_virus_part3.fasta, using first record
Multiple records in LKUA01_part112.fasta, using first record
Multiple records in pUC19_part3.fasta, using first record
Multiple records in AGQN01_part84.fasta, using first record
Multiple records in AGQN01_part125.fasta, using first record
Multiple records in pUC19_part89.fasta, using first record
Multiple records in AGQN01_part218.fasta, using first record
Multiple records in pUC19_part70.fasta, using first record
Multiple records in LKUA01_part240.fasta, using first record
Multiple records in LKUB01_part108.fasta, using first record
Multiple records in LKUA01_part211.fasta, using first record
Multiple records in AGQN01_part183.fasta, using first record
Multiple records in LKUA01_part273.fasta, using first record
Multiple records in AGQN01_part28.fasta, using first record
Multiple records in LKUB01_part96.fasta, using first record
Multiple records in pBluescript_part18.fasta, using first record
Multiple records in LKUA01_part2.fasta, using first record
Multiple records in LKUA01_part213.fasta, using first record
Multiple records in LKUA01_part155.fasta, using first record
Multiple records in LKUA01_part223.fasta, using first record
Multiple records in LKUB01_part35.fasta, using first record
Multiple records in LKUB01_part34.fasta, using first record
Multiple records in MNPR01_part1.fasta, using first record
Multiple records in Influenza_A_virus_part20.fasta, using first record
Multiple records in AGQN01_part223.fasta, using first record
Multiple records in Influenza_A_virus_part14.fasta, using first record
Multiple records in pUC19_part65.fasta, using first record
Multiple records in LKUB01_part77.fasta, using first record
Multiple records in AGQN01_part74.fasta, using first record
Multiple records in AGQN01_part124.fasta, using first record
Multiple records in LKUB01_part16.fasta, using first record
Multiple records in AGQN01_part241.fasta, using first record
Multiple records in AGQN01_part3.fasta, using first record
Multiple records in LKUB01_part163.fasta, using first record
Multiple records in LKUB01_part161.fasta, using first record
Multiple records in AGQN01_part100.fasta, using first record
Multiple records in pUC19_part81.fasta, using first record
Multiple records in pUC19_part28.fasta, using first record
Multiple records in pUC19_part104.fasta, using first record
Multiple records in pUC19_part157.fasta, using first record
Multiple records in AGQN01_part23.fasta, using first record
Multiple records in AGQN01_part167.fasta, using first record
Multiple records in AGQN01_part274.fasta, using first record
Multiple records in AGQN01_part102.fasta, using first record
Multiple records in AGQN01_part133.fasta, using first record
Multiple records in LKUA01_part48.fasta, using first record
Multiple records in LKUB01_part66.fasta, using first record
Multiple records in pUC19_part86.fasta, using first record
Multiple records in LKUA01_part101.fasta, using first record
Multiple records in pUC19_part116.fasta, using first record
Multiple records in LKUB01_part102.fasta, using first record
Multiple records in pUC19_part10.fasta, using first record
Multiple records in AGQN01_part317.fasta, using first record
Multiple records in LKUA01_part311.fasta, using first record
Multiple records in AGQN01_part145.fasta, using first record
Multiple records in pUC19_part12.fasta, using first record
Multiple records in LKUA01_part158.fasta, using first record
Multiple records in LKUA01_part25.fasta, using first record
Multiple records in LKUB01_part24.fasta, using first record
Multiple records in LKUB01_part95.fasta, using first record
Multiple records in pUC19_part117.fasta, using first record
Multiple records in AGQN01_part78.fasta, using first record
Multiple records in pUC19_part153.fasta, using first record
Multiple records in AGQN01_part335.fasta, using first record
Multiple records in AGQN01_part149.fasta, using first record
Multiple records in LKUB01_part171.fasta, using first record
Multiple records in AGQN01_part51.fasta, using first record
Multiple records in pUC19_part57.fasta, using first record
Multiple records in LKUB01_part156.fasta, using first record
Multiple records in pUC19_part11.fasta, using first record
Multiple records in pUC19_part16.fasta, using first record
Multiple records in pUC19_part91.fasta, using first record
Multiple records in pUC19_part34.fasta, using first record
Multiple records in pUC19_part172.fasta, using first record
Multiple records in LKUB01_part22.fasta, using first record
Multiple records in AGQN01_part117.fasta, using first record
Multiple records in LKUA01_part220.fasta, using first record
Multiple records in AGQN01_part82.fasta, using first record
Multiple records in LKUA01_part88.fasta, using first record
Multiple records in LKUA01_part185.fasta, using first record
Multiple records in LKUB01_part165.fasta, using first record
Multiple records in AGQN01_part113.fasta, using first record
Multiple records in AGQN01_part231.fasta, using first record
Multiple records in AGQN01_part79.fasta, using first record
Multiple records in AGQN01_part98.fasta, using first record
Multiple records in LKUB01_part176.fasta, using first record
Multiple records in pUC19_part8.fasta, using first record
Multiple records in LKUA01_part133.fasta, using first record
Multiple records in LKUA01_part244.fasta, using first record
Multiple records in AGQN01_part200.fasta, using first record
Multiple records in AGQN01_part187.fasta, using first record
Multiple records in AGQN01_part71.fasta, using first record
Multiple records in Influenza_A_virus_part9.fasta, using first record
Multiple records in LKUA01_part33.fasta, using first record
Multiple records in AGQN01_part204.fasta, using first record
Multiple records in LKUA01_part46.fasta, using first record
Multiple records in LKUA01_part199.fasta, using first record
Multiple records in LKUA01_part242.fasta, using first record
Multiple records in LKUB01_part57.fasta, using first record
Multiple records in LKUA01_part276.fasta, using first record
Multiple records in LKUA01_part264.fasta, using first record
Multiple records in LKUB01_part33.fasta, using first record
Multiple records in pUC19_part58.fasta, using first record
Multiple records in pUC19_part66.fasta, using first record
Multiple records in Influenza_A_virus_part19.fasta, using first record
Multiple records in pBluescript_part4.fasta, using first record
Multiple records in LKUA01_part284.fasta, using first record
Multiple records in AGQN01_part338.fasta, using first record
Multiple records in AGQN01_part121.fasta, using first record
Multiple records in LKUA01_part278.fasta, using first record
Multiple records in AGQN01_part206.fasta, using first record
Multiple records in LKUB01_part120.fasta, using first record
Multiple records in pUC19_part164.fasta, using first record
Multiple records in pUC19_part88.fasta, using first record
Multiple records in LKUB01_part143.fasta, using first record
Multiple records in AGQN01_part128.fasta, using first record
Multiple records in AGQN01_part57.fasta, using first record
Multiple records in LKUB01_part88.fasta, using first record
Multiple records in AGQN01_part314.fasta, using first record
Multiple records in pUC19_part98.fasta, using first record
Multiple records in LKUB01_part160.fasta, using first record
Multiple records in AGQN01_part60.fasta, using first record
Multiple records in pUC19_part69.fasta, using first record
Multiple records in AGQN01_part4.fasta, using first record
Multiple records in AGQN01_part106.fasta, using first record
Multiple records in AGQN01_part211.fasta, using first record
Multiple records in LKUA01_part297.fasta, using first record
Multiple records in pUC19_part27.fasta, using first record
Multiple records in pUC19_part129.fasta, using first record
Multiple records in LKUA01_part296.fasta, using first record
Multiple records in AGQN01_part83.fasta, using first record
Multiple records in LKUA01_part207.fasta, using first record
Multiple records in AGQN01_part122.fasta, using first record
Multiple records in pBluescript_part3.fasta, using first record
Multiple records in LKUB01_part43.fasta, using first record
Multiple records in LKUA01_part123.fasta, using first record
Multiple records in LKUB01_part56.fasta, using first record
Multiple records in MNPR01_part11.fasta, using first record
Multiple records in LKUA01_part27.fasta, using first record
Multiple records in LKUA01_part78.fasta, using first record
Multiple records in AGQN01_part201.fasta, using first record
Multiple records in LKUA01_part84.fasta, using first record
Multiple records in AGQN01_part157.fasta, using first record
Multiple records in LKUA01_part75.fasta, using first record
Multiple records in LKUA01_part90.fasta, using first record
Multiple records in LKUA01_part82.fasta, using first record
Multiple records in AGQN01_part179.fasta, using first record
Multiple records in LKUA01_part136.fasta, using first record
Multiple records in Influenza_A_virus_part16.fasta, using first record
Multiple records in LKUB01_part4.fasta, using first record
Multiple records in pBluescript_part17.fasta, using first record
Multiple records in AGQN01_part9.fasta, using first record
Multiple records in LKUB01_part30.fasta, using first record
Multiple records in AGQN01_part64.fasta, using first record
Multiple records in AGQN01_part48.fasta, using first record
Multiple records in AGQN01_part140.fasta, using first record
Multiple records in LKUA01_part256.fasta, using first record
Multiple records in AGQN01_part26.fasta, using first record
Multiple records in AGQN01_part250.fasta, using first record
Multiple records in LKUB01_part86.fasta, using first record
Multiple records in AGQN01_part217.fasta, using first record
Multiple records in LKUA01_part263.fasta, using first record
Multiple records in LKUA01_part62.fasta, using first record
Multiple records in LKUB01_part65.fasta, using first record
Multiple records in pUC19_part54.fasta, using first record
Multiple records in AGQN01_part92.fasta, using first record
Multiple records in AGQN01_part186.fasta, using first record
Multiple records in AGQN01_part118.fasta, using first record
Multiple records in LKUA01_part39.fasta, using first record
Multiple records in AGQN01_part61.fasta, using first record
Multiple records in LKUA01_part305.fasta, using first record
Multiple records in AGQN01_part313.fasta, using first record
Multiple records in pUC19_part47.fasta, using first record
Multiple records in LKUB01_part137.fasta, using first record
Multiple records in AGQN01_part196.fasta, using first record
Multiple records in LKUB01_part91.fasta, using first record
Multiple records in AGQN01_part260.fasta, using first record
Multiple records in pUC19_part74.fasta, using first record
Multiple records in AGQN01_part248.fasta, using first record
Multiple records in pUC19_part142.fasta, using first record
Multiple records in pBluescript_part10.fasta, using first record
Multiple records in LKUA01_part194.fasta, using first record
Multiple records in LKUA01_part191.fasta, using first record
Multiple records in pUC19_part138.fasta, using first record
Multiple records in pUC19_part2.fasta, using first record
Multiple records in AGQN01_part134.fasta, using first record
Multiple records in pUC19_part35.fasta, using first record
Multiple records in LKUA01_part226.fasta, using first record
Multiple records in LKUA01_part11.fasta, using first record
Multiple records in LKUA01_part129.fasta, using first record
Multiple records in LKUA01_part193.fasta, using first record
Multiple records in AGQN01_part38.fasta, using first record
Multiple records in LKUA01_part34.fasta, using first record
Multiple records in LKUB01_part21.fasta, using first record
Multiple records in LKUB01_part81.fasta, using first record
Multiple records in AGQN01_part252.fasta, using first record
Multiple records in AGQN01_part266.fasta, using first record
Multiple records in pUC19_part84.fasta, using first record
Multiple records in LKUA01_part212.fasta, using first record
Multiple records in LKUB01_part1.fasta, using first record
Multiple records in LKUA01_part94.fasta, using first record
Multiple records in LKUB01_part26.fasta, using first record
Multiple records in LKUB01_part136.fasta, using first record
Multiple records in AGQN01_part288.fasta, using first record
Multiple records in LKUA01_part29.fasta, using first record
Multiple records in pBluescript_part13.fasta, using first record
Multiple records in LKUA01_part163.fasta, using first record
Multiple records in AGQN01_part310.fasta, using first record
Multiple records in pUC19_part160.fasta, using first record
Multiple records in LKUB01_part28.fasta, using first record
Multiple records in LKUA01_part266.fasta, using first record
Multiple records in pUC19_part135.fasta, using first record
Multiple records in LKUA01_part24.fasta, using first record
Multiple records in LKUA01_part239.fasta, using first record
Multiple records in pUC19_part13.fasta, using first record
Multiple records in pBluescript_part16.fasta, using first record
Multiple records in AGQN01_part219.fasta, using first record
Multiple records in LKUA01_part93.fasta, using first record
Multiple records in LKUA01_part171.fasta, using first record
Multiple records in AGQN01_part15.fasta, using first record
Multiple records in pUC19_part63.fasta, using first record
Multiple records in pUC19_part31.fasta, using first record
Multiple records in AGQN01_part105.fasta, using first record
Multiple records in LKUA01_part285.fasta, using first record
Multiple records in pUC19_part167.fasta, using first record
Multiple records in LKUA01_part162.fasta, using first record
Multiple records in LKUB01_part3.fasta, using first record
Multiple records in LKUA01_part178.fasta, using first record
Multiple records in LKUB01_part107.fasta, using first record
Multiple records in AGQN01_part282.fasta, using first record
Multiple records in pUC19_part43.fasta, using first record
Multiple records in LKUB01_part100.fasta, using first record
Multiple records in pUC19_part101.fasta, using first record
Multiple records in AGQN01_part325.fasta, using first record
Multiple records in LKUA01_part104.fasta, using first record
Multiple records in LKUA01_part138.fasta, using first record
Multiple records in AGQN01_part220.fasta, using first record
Multiple records in LKUB01_part14.fasta, using first record
Multiple records in AGQN01_part1.fasta, using first record
Multiple records in AGQN01_part188.fasta, using first record
Multiple records in LKUA01_part306.fasta, using first record
Multiple records in LKUA01_part146.fasta, using first record
Multiple records in pUC19_part146.fasta, using first record
Multiple records in AGQN01_part138.fasta, using first record
Multiple records in pUC19_part32.fasta, using first record
Multiple records in LKUB01_part78.fasta, using first record
Multiple records in LKUA01_part44.fasta, using first record
Multiple records in pUC19_part137.fasta, using first record
Multiple records in LKUB01_part31.fasta, using first record
Multiple records in LKUA01_part214.fasta, using first record
Multiple records in AGQN01_part194.fasta, using first record
Multiple records in pUC19_part106.fasta, using first record
Multiple records in LKUA01_part298.fasta, using first record
Multiple records in LKUA01_part217.fasta, using first record
Multiple records in AGQN01_part276.fasta, using first record
Multiple records in pUC19_part140.fasta, using first record
Multiple records in LKUA01_part49.fasta, using first record
Multiple records in LKUB01_part138.fasta, using first record
Multiple records in pUC19_part121.fasta, using first record
Multiple records in LKUA01_part269.fasta, using first record
Multiple records in LKUA01_part40.fasta, using first record
Multiple records in AGQN01_part168.fasta, using first record
Multiple records in pUC19_part113.fasta, using first record
Multiple records in AGQN01_part287.fasta, using first record
Multiple records in AGQN01_part316.fasta, using first record
Multiple records in LKUA01_part253.fasta, using first record
Multiple records in pUC19_part114.fasta, using first record
Multiple records in pUC19_part120.fasta, using first record
Multiple records in LKUA01_part170.fasta, using first record
Multiple records in pUC19_part73.fasta, using first record
Multiple records in Influenza_A_virus_part21.fasta, using first record
Multiple records in pUC19_part133.fasta, using first record
Multiple records in AGQN01_part268.fasta, using first record
Multiple records in LKUB01_part175.fasta, using first record
Multiple records in pUC19_part26.fasta, using first record
Multiple records in LKUB01_part142.fasta, using first record
Multiple records in LKUA01_part165.fasta, using first record
Multiple records in LKUB01_part154.fasta, using first record
Multiple records in LKUA01_part145.fasta, using first record
Multiple records in pUC19_part168.fasta, using first record
Multiple records in LKUA01_part152.fasta, using first record
Multiple records in LKUA01_part287.fasta, using first record
Multiple records in AGQN01_part331.fasta, using first record
Multiple records in LKUA01_part134.fasta, using first record
Multiple records in LKUA01_part149.fasta, using first record
Multiple records in LKUB01_part122.fasta, using first record
Multiple records in AGQN01_part275.fasta, using first record
Multiple records in LKUA01_part147.fasta, using first record
Multiple records in Influenza_A_virus_part6.fasta, using first record
Multiple records in AGQN01_part303.fasta, using first record
Multiple records in pUC19_part18.fasta, using first record
Multiple records in AGQN01_part185.fasta, using first record
Multiple records in AGQN01_part244.fasta, using first record
Multiple records in pUC19_part62.fasta, using first record
Multiple records in LKUA01_part234.fasta, using first record
Multiple records in LKUA01_part153.fasta, using first record
Multiple records in AGQN01_part238.fasta, using first record
Multiple records in LKUB01_part140.fasta, using first record
Multiple records in LKUA01_part177.fasta, using first record
Multiple records in AGQN01_part309.fasta, using first record
Multiple records in LKUA01_part260.fasta, using first record
Multiple records in LKUA01_part26.fasta, using first record
Multiple records in LKUA01_part248.fasta, using first record
Multiple records in AGQN01_part312.fasta, using first record
Multiple records in AGQN01_part323.fasta, using first record
Multiple records in pUC19_part151.fasta, using first record
Multiple records in LKUB01_part162.fasta, using first record
Multiple records in pUC19_part130.fasta, using first record
Multiple records in LKUA01_part186.fasta, using first record
Multiple records in LKUB01_part173.fasta, using first record
Multiple records in AGQN01_part245.fasta, using first record
Multiple records in LKUA01_part76.fasta, using first record
Multiple records in AGQN01_part156.fasta, using first record
Multiple records in LKUB01_part82.fasta, using first record
Multiple records in AGQN01_part36.fasta, using first record
Multiple records in Influenza_A_virus_part17.fasta, using first record
Multiple records in pUC19_part6.fasta, using first record
Multiple records in AGQN01_part154.fasta, using first record
Multiple records in LKUA01_part140.fasta, using first record
Multiple records in LKUB01_part144.fasta, using first record
Multiple records in LKUA01_part258.fasta, using first record
Multiple records in LKUB01_part70.fasta, using first record
Multiple records in LKUA01_part288.fasta, using first record
Multiple records in LKUA01_part183.fasta, using first record
Multiple records in Influenza_A_virus_part5.fasta, using first record
Multiple records in LKUA01_part47.fasta, using first record
Multiple records in pUC19_part87.fasta, using first record
Multiple records in AGQN01_part20.fasta, using first record
Multiple records in LKUA01_part280.fasta, using first record
Multiple records in AGQN01_part46.fasta, using first record
Multiple records in LKUA01_part109.fasta, using first record
Multiple records in LKUA01_part22.fasta, using first record
Multiple records in LKUB01_part44.fasta, using first record
Multiple records in AGQN01_part69.fasta, using first record
Multiple records in pUC19_part72.fasta, using first record
Multiple records in pUC19_part147.fasta, using first record
Multiple records in LKUB01_part164.fasta, using first record
Multiple records in LKUB01_part133.fasta, using first record
Multiple records in LKUA01_part86.fasta, using first record
Multiple records in pBluescript_part20.fasta, using first record
Multiple records in pUC19_part75.fasta, using first record
Multiple records in AGQN01_part280.fasta, using first record
Multiple records in pUC19_part92.fasta, using first record
Multiple records in pUC19_part159.fasta, using first record
Multiple records in Influenza_A_virus_part7.fasta, using first record
Multiple records in AGQN01_part267.fasta, using first record
Multiple records in pUC19_part118.fasta, using first record
Multiple records in AGQN01_part174.fasta, using first record
Multiple records in LKUA01_part192.fasta, using first record
Multiple records in LKUA01_part127.fasta, using first record
Multiple records in pUC19_part97.fasta, using first record
Multiple records in LKUA01_part303.fasta, using first record
Multiple records in LKUB01_part29.fasta, using first record
Multiple records in pUC19_part21.fasta, using first record
Multiple records in LKUA01_part164.fasta, using first record
Multiple records in pUC19_part56.fasta, using first record
Multiple records in AGQN01_part243.fasta, using first record
Multiple records in LKUA01_part91.fasta, using first record
Multiple records in LKUB01_part97.fasta, using first record
Multiple records in LKUA01_part96.fasta, using first record
Multiple records in LKUA01_part245.fasta, using first record
Multiple records in LKUA01_part283.fasta, using first record
Multiple records in AGQN01_part315.fasta, using first record
Multiple records in AGQN01_part225.fasta, using first record
Multiple records in AGQN01_part114.fasta, using first record
Multiple records in AGQN01_part136.fasta, using first record
Multiple records in pUC19_part22.fasta, using first record
Multiple records in AGQN01_part99.fasta, using first record
Multiple records in AGQN01_part254.fasta, using first record
Multiple records in pUC19_part145.fasta, using first record
Multiple records in pUC19_part90.fasta, using first record
Multiple records in pUC19_part132.fasta, using first record
Multiple records in AGQN01_part256.fasta, using first record
Multiple records in LKUA01_part246.fasta, using first record
Multiple records in AGQN01_part81.fasta, using first record
Multiple records in pUC19_part15.fasta, using first record
Multiple records in AGQN01_part298.fasta, using first record
Multiple records in AGQN01_part95.fasta, using first record
Multiple records in AGQN01_part193.fasta, using first record
Multiple records in pUC19_part50.fasta, using first record
Multiple records in AGQN01_part180.fasta, using first record
Multiple records in AGQN01_part13.fasta, using first record
Multiple records in AGQN01_part198.fasta, using first record
Multiple records in AGQN01_part205.fasta, using first record
Multiple records in LKUA01_part228.fasta, using first record
Multiple records in LKUA01_part97.fasta, using first record
Multiple records in LKUB01_part110.fasta, using first record
Multiple records in AGQN01_part207.fasta, using first record
Multiple records in LKUB01_part126.fasta, using first record
Multiple records in sv40_validation_temp.fasta, using first record
Multiple records in sv40_contigs.fasta, using first record
Multiple records in SARS-CoV-2.fasta, using first record
Multiple records in Influenza_A_virus.fasta, using first record
Multiple records in Staphylococcus.fasta, using first record
Multiple records in public_validation_combined.fasta, using first record
Multiple records in nm_2026_all.fasta, using first record
